Original,Detected language,Detected language score,Translation,PostID
From automotive industry to retail  manufacturing and even neurosurgery  cloud computing is opening the door to continuous innovation. Read the article and discover how all industries can benefit from Microsoft Cloud:,en,1.0,From automotive industry to retail  manufacturing and even neurosurgery  cloud computing is opening the door to continuous innovation. Read the article and discover how all industries can benefit from Microsoft Cloud:,6454694334604974
"The new Windows 11 brings you closer to what you love.
Like connecting with all your favorite people in the new Chat.
With just a click  you can call  chat  video  or text ➡ http://msft.it/6187kc4lf",en,1.0,"The new Windows 11 brings you closer to what you love.
Like connecting with all your favorite people in the new Chat.
With just a click  you can call  chat  video  or text ➡ http://msft.it/6187kc4lf",6442784269129314
"Air Astana  Kazakhstan’s leading airline  needed a solution to generate faster financial reports.
Learn how Microsoft Azure Synapse Analytics and Power BI helped the company decrease reporting time and boost productivity. ➡ http://msft.it/6187keXyf",en,1.0,"Air Astana  Kazakhstan’s leading airline  needed a solution to generate faster financial reports.
Learn how Microsoft Azure Synapse Analytics and Power BI helped the company decrease reporting time and boost productivity. ➡ http://msft.it/6187keXyf",6414614415279633
SECO/WARWICK Group  a leader in the global metallurgical industry  migrated to Dynamics 365 to improve efficiency of its business processes. Read the case study and discover how the company gained more customer and product insights while saving 20-30% of time spent on daily tasks ➡ http://msft.it/6182kbX4C,en,1.0,SECO/WARWICK Group  a leader in the global metallurgical industry  migrated to Dynamics 365 to improve efficiency of its business processes. Read the case study and discover how the company gained more customer and product insights while saving 20-30% of time spent on daily tasks ➡ http://msft.it/6182kbX4C,6403167313091010
"Sustainable growth is achievable through innovation. Microsoft Cloud for Financial Services becomes generally available starting November  with new capabilities that enhance security  facilitate access to critical information and prevent financial crimes.
Explore them here ➡ http://msft.it/6187kkc7P",en,1.0,"Sustainable growth is achievable through innovation. Microsoft Cloud for Financial Services becomes generally available starting November  with new capabilities that enhance security  facilitate access to critical information and prevent financial crimes.
Explore them here ➡ http://msft.it/6187kkc7P",6386657298075345
"The Hybrid model means that everyone will be able to have a work style that fits their life  not just their work.
Discover 6 key steps that allow you to achieve harmony within the hybrid ecosystem and more insights from our Microsoft employee survey ➡ http://msft.it/6187kV2bR",en,1.0,"The Hybrid model means that everyone will be able to have a work style that fits their life  not just their work.
Discover 6 key steps that allow you to achieve harmony within the hybrid ecosystem and more insights from our Microsoft employee survey ➡ http://msft.it/6187kV2bR",6375836085824133
"When you celebrate and share your achievements  you’re giving yourself an additional boost to get where you want to go in your career and life.
Learn more about the power of the Microsoft Certification community:",en,1.0,"When you celebrate and share your achievements  you’re giving yourself an additional boost to get where you want to go in your career and life.
Learn more about the power of the Microsoft Certification community:",6365514313522977
"Cybercriminals are targeting all industries and ransomware attacks are increasingly successful.
Read the report and get valuable insights on how to build a stronger defense:",en,0.96,"Cybercriminals are targeting all industries and ransomware attacks are increasingly successful.
Read the report and get valuable insights on how to build a stronger defense:",6338662716208137
"SpaceCows proposes a groundbreaking approach to feral animal management programs.
With the help of AI  space technology and indigenous knowledge  they use low-orb satellites to track feral herds across 20.000 square kms.
Discover more here:",en,1.0,"SpaceCows proposes a groundbreaking approach to feral animal management programs.
With the help of AI  space technology and indigenous knowledge  they use low-orb satellites to track feral herds across 20.000 square kms.
Discover more here:",6307052932702449
"The Catalyst program is a new model for public-private sector partnership to help build the foundation of the net-zero economy.
Follow the link and discover how Microsoft is supporting this initiative ➡ http://msft.it/6180kEhaG",en,1.0,"The Catalyst program is a new model for public-private sector partnership to help build the foundation of the net-zero economy.
Follow the link and discover how Microsoft is supporting this initiative ➡ http://msft.it/6180kEhaG",6306947006046375
"We aim at preparing a new generation with all the skills needed to have a great impact on the world.
Whether you are a student  an employee  a leader or a mentor  Microsoft Learn helps you hone your non-tech skills and foster a more inclusive and diverse workplace.
Explore them here:",en,1.0,"We aim at preparing a new generation with all the skills needed to have a great impact on the world.
Whether you are a student  an employee  a leader or a mentor  Microsoft Learn helps you hone your non-tech skills and foster a more inclusive and diverse workplace.
Explore them here:",6301220603285682
"In a common effort to help business leaders and their teams navigate this new world  Microsoft and LinkedIn gathered a series of interesting insights regarding hybrid work.
Explore them and discover new ways you can make your organization better through hybrid working:",en,1.0,"In a common effort to help business leaders and their teams navigate this new world  Microsoft and LinkedIn gathered a series of interesting insights regarding hybrid work.
Explore them and discover new ways you can make your organization better through hybrid working:",6295952987145777
2020’s “hottest startup in Europe” uses the power of Azure to give clients the ability to deliver cutting edge end-to-end digital products in a matter of weeks. Read the full story and discover how Microsoft contributes to FintechOS’ mission:,en,1.0,2020’s “hottest startup in Europe” uses the power of Azure to give clients the ability to deliver cutting edge end-to-end digital products in a matter of weeks. Read the full story and discover how Microsoft contributes to FintechOS’ mission:,6248929535181456
"Teams has always been an accessible solution for collaboration.
We aim at bringing seamless connectivity to everyone who wants to be more productive  which is why we’ve integrated Teams into the new Windows 11 and added a series of new  dedicated features.
Learn more ➡ http://msft.it/6183X4hlU",en,1.0,"Teams has always been an accessible solution for collaboration.
We aim at bringing seamless connectivity to everyone who wants to be more productive  which is why we’ve integrated Teams into the new Windows 11 and added a series of new  dedicated features.
Learn more ➡ http://msft.it/6183X4hlU",6270269846380758
What we perceived last year as challenges turned out to be growth opportunities. For the leading manufacturers  the rapid evolution of technology opened the doors to innovation and sustainability. Discover why the future of manufacturing starts with Azure ➡ http://msft.it/6181XI2SS,en,1.0,What we perceived last year as challenges turned out to be growth opportunities. For the leading manufacturers  the rapid evolution of technology opened the doors to innovation and sustainability. Discover why the future of manufacturing starts with Azure ➡ http://msft.it/6181XI2SS,6248700795204330
We’re grateful to again be recognized by Gartner as a Leader in Unified Endpoint Management. Microsoft Endpoint Manager offers every tool needed to adapt your business to today’s evolving business landscape. Follow the link and discover how it works ➡ http://msft.it/6186XI8Cn,en,1.0,We’re grateful to again be recognized by Gartner as a Leader in Unified Endpoint Management. Microsoft Endpoint Manager offers every tool needed to adapt your business to today’s evolving business landscape. Follow the link and discover how it works ➡ http://msft.it/6186XI8Cn,6242446112496465
We design more than devices – we create products that drive creativity  productivity and agility. Achieve more and cross new borders with the new Surface products designed to make the most out of Windows 11. Discover them here:,en,1.0,We design more than devices – we create products that drive creativity  productivity and agility. Achieve more and cross new borders with the new Surface products designed to make the most out of Windows 11. Discover them here:,6238185752922501
We’ve added a series of new features designed to make collaboration easier through Teams. Read the thread and explore them all:,en,1.0,We’ve added a series of new features designed to make collaboration easier through Teams. Read the thread and explore them all:,6233221666752243
While back-to-back meetings might feel more productive  some of the latest research shows the opposite - breaks are essential to making the workday less stressful and more productive. Read the report and discover how Microsoft solutions help with integrating breaks ➡ http://msft.it/6180XaJV0,en,1.0,While back-to-back meetings might feel more productive  some of the latest research shows the opposite - breaks are essential to making the workday less stressful and more productive. Read the report and discover how Microsoft solutions help with integrating breaks ➡ http://msft.it/6180XaJV0,6232881006786309
"Microsoft makes it easy for you to learn at your own pace.
Keep up with innovation and grow skills for the future with Microsoft Learn.
Discover our platform ➡ http://msft.it/6183Xo45z",en,1.0,"Microsoft makes it easy for you to learn at your own pace.
Keep up with innovation and grow skills for the future with Microsoft Learn.
Discover our platform ➡ http://msft.it/6183Xo45z",6195432623864481
"Follow the discussion on the benefits of cloud security  cybersecurity strategies and the importance of employee inclusion and security - with Bret Arsenault  Corporate VP and CISO Microsoft  and Emma Smith  Global Cybersecurity Director at Vodafone.
Discover the podcast:",en,1.0,"Follow the discussion on the benefits of cloud security  cybersecurity strategies and the importance of employee inclusion and security - with Bret Arsenault  Corporate VP and CISO Microsoft  and Emma Smith  Global Cybersecurity Director at Vodafone.
Discover the podcast:",6147491985325212
"When technology reflects the diversity of everyone  there are no limits to what people can achieve.
Discover how and why we try to push the boundaries of what the proper tools can do in accessibility ➡ http://msft.it/6183Xe8Ll",en,1.0,"When technology reflects the diversity of everyone  there are no limits to what people can achieve.
Discover how and why we try to push the boundaries of what the proper tools can do in accessibility ➡ http://msft.it/6183Xe8Ll",6143054365768974
"How are companies preparing for the next great workplace disruption?
Explore our article to learn how leading companies help their employees feel empowered  balanced and energized at work:",en,1.0,"How are companies preparing for the next great workplace disruption?
Explore our article to learn how leading companies help their employees feel empowered  balanced and energized at work:",6143012669106477
As schools around the world embrace a hybrid learning environment  educators can step into the new school year with the tools and confidence they need. Explore the free trainings that can help teachers better connect with and inspire their students:,en,1.0,As schools around the world embrace a hybrid learning environment  educators can step into the new school year with the tools and confidence they need. Explore the free trainings that can help teachers better connect with and inspire their students:,6125309540876790
Viva Wallet is the first fully cloud-based neobank in Europe  and its goal is to make payment solutions easier and faster. With Azure  they managed to create electronic transactions faster than industry benchmarks. Discover more here:,en,1.0,Viva Wallet is the first fully cloud-based neobank in Europe  and its goal is to make payment solutions easier and faster. With Azure  they managed to create electronic transactions faster than industry benchmarks. Discover more here:,6125294847544926
"Are you looking to create a comprehensive  automated map of all your data?
It’s easier than ever with Azure Pureview.
Sign up to the event and discover more ➡ http://msft.it/6181XweH9",en,1.0,"Are you looking to create a comprehensive  automated map of all your data?
It’s easier than ever with Azure Pureview.
Sign up to the event and discover more ➡ http://msft.it/6181XweH9",6120160001391744
"Dynamics 365 Intelligent Order Management is a cloud-based solution that accelerates omnichannel transformation and facilitates order fulfillment and it’s now available for your organization as well.
Learn more here:",en,1.0,"Dynamics 365 Intelligent Order Management is a cloud-based solution that accelerates omnichannel transformation and facilitates order fulfillment and it’s now available for your organization as well.
Learn more here:",6108133432594401
"Best of Business AI 2021 invites you to go behind the scenes with 10 leading global organizations using AI to tackle some of the biggest challenges facing their industries and our world.
Explore real-life stories of AI transformation ➡ http://msft.it/6185XpeMc",en,1.0,"Best of Business AI 2021 invites you to go behind the scenes with 10 leading global organizations using AI to tackle some of the biggest challenges facing their industries and our world.
Explore real-life stories of AI transformation ➡ http://msft.it/6185XpeMc",6085307274877017
As the world around us has changed  hybrid work requires new ways to build and interact with applications. Discover the new and updated collaborative apps coming soon in Microsoft Teams and how our partners can build their own apps:,en,1.0,As the world around us has changed  hybrid work requires new ways to build and interact with applications. Discover the new and updated collaborative apps coming soon in Microsoft Teams and how our partners can build their own apps:,6079493485458396
The number 1 emitter of greenhouse gas emission is not industry or transportation  it’s buildings. Explore how Nomad Go uses computer vision and artificial intelligence to predict the use of spaces  while aiming at minimizing the carbon footprint:,en,1.0,The number 1 emitter of greenhouse gas emission is not industry or transportation  it’s buildings. Explore how Nomad Go uses computer vision and artificial intelligence to predict the use of spaces  while aiming at minimizing the carbon footprint:,6070547409686337
"To meet evolving consumer needs and expand equitable access to healthcare  we are supporting retailers and healthcare industries with specifically designed cloud solutions.
Learn more ➡ http://msft.it/6183X3sDh",en,1.0,"To meet evolving consumer needs and expand equitable access to healthcare  we are supporting retailers and healthcare industries with specifically designed cloud solutions.
Learn more ➡ http://msft.it/6183X3sDh",6047023905372021
In the face of rapid change  Zero Trust has become a guiding security strategy for organizations around the world. Explore in-depth insights on how the Zero Trust policy has influenced over 1 200 security decision-makers.,en,1.0,In the face of rapid change  Zero Trust has become a guiding security strategy for organizations around the world. Explore in-depth insights on how the Zero Trust policy has influenced over 1 200 security decision-makers.,6006256662782079
"Patient data makes it easy for biotech companies to create faster and better healthcare solutions.
Follow the link and discover more:",en,1.0,"Patient data makes it easy for biotech companies to create faster and better healthcare solutions.
Follow the link and discover more:",5988815001192912
"Ever wanted to learn more about advanced technologies in a friendly  easy to understand and funny manner? It’s now possible with Microsoft Story Labs.
Explore 10 episodes regarding various tech subjects and stay tuned for more:",en,1.0,"Ever wanted to learn more about advanced technologies in a friendly  easy to understand and funny manner? It’s now possible with Microsoft Story Labs.
Explore 10 episodes regarding various tech subjects and stay tuned for more:",5968597853214627
"Digital optimism translates into people actively seeking to innovate and pave a path toward a more sustainable  secure and profitable future through cloud.
Follow the link and discover more:",en,1.0,"Digital optimism translates into people actively seeking to innovate and pave a path toward a more sustainable  secure and profitable future through cloud.
Follow the link and discover more:",5963944763679936
"Everybody should be able to use Windows to its fullest extent  regardless of one’s abilities.
To create a better experience for everybody  we added a series of new accessibility features.
Follow the link and discover how “Accessibility” makes Windows 11 easier to use for everyone ➡ http://msft.it/6184n7fXA",en,1.0,"Everybody should be able to use Windows to its fullest extent  regardless of one’s abilities.
To create a better experience for everybody  we added a series of new accessibility features.
Follow the link and discover how “Accessibility” makes Windows 11 easier to use for everyone ➡ http://msft.it/6184n7fXA",5958833800857699
"Nowadays  businesses need resiliency  adaptability and innovation  which are attainable through continuous development. This is why we aim at making it easier for them to find what they need  when they need.
Discover more here:",en,1.0,"Nowadays  businesses need resiliency  adaptability and innovation  which are attainable through continuous development. This is why we aim at making it easier for them to find what they need  when they need.
Discover more here:",5953500861390993
"When its on-premise demand forecast tool began showing signs of weakness  Lenta’s go-to solution was Azure Databricks. The Russian retail giant managed to cut down costs while creating specific promotional activities across all its stores.
Read the full story:",en,1.0,"When its on-premise demand forecast tool began showing signs of weakness  Lenta’s go-to solution was Azure Databricks. The Russian retail giant managed to cut down costs while creating specific promotional activities across all its stores.
Read the full story:",5938126896261723
"There is no going back to the digital adoption levels of two years ago  there is only going forward.
And Microsoft Cloud is built for the next decade.
Read more in an excerpt from Satya Nadella’s speech at Microsoft Inspire:",en,1.0,"There is no going back to the digital adoption levels of two years ago  there is only going forward.
And Microsoft Cloud is built for the next decade.
Read more in an excerpt from Satya Nadella’s speech at Microsoft Inspire:",5934047620002984
"Cloud technology can make your IT cost structure more flexible.
Learn more from Azure experts and discover how to quickly take advantage of new business opportunities.",en,1.0,"Cloud technology can make your IT cost structure more flexible.
Learn more from Azure experts and discover how to quickly take advantage of new business opportunities.",5928657390542007
"We are proud to share that Microsoft Security is named a Leader in seven Forrester Wave categories. This not only underlines our commitment to providing best-in-class security solutions but also the trust our customers have placed in us.
Learn more:",en,1.0,"We are proud to share that Microsoft Security is named a Leader in seven Forrester Wave categories. This not only underlines our commitment to providing best-in-class security solutions but also the trust our customers have placed in us.
Learn more:",5901861613221585
The companies that succeed in today’s business landscape are those driven by technology and data. Learn how e-commerce company Packeta grew from a 10-employee office in the Czech Republic to a global delivery service with Microsoft Cloud:,en,1.0,The companies that succeed in today’s business landscape are those driven by technology and data. Learn how e-commerce company Packeta grew from a 10-employee office in the Czech Republic to a global delivery service with Microsoft Cloud:,5896372053770541
"Microsoft Cloud allows organizations to achieve their goals with a more environmentally friendly approach.
Learn how your company can enable new innovations for the benefit of our planet ➡ http://msft.it/6187naOb9",en,1.0,"Microsoft Cloud allows organizations to achieve their goals with a more environmentally friendly approach.
Learn how your company can enable new innovations for the benefit of our planet ➡ http://msft.it/6187naOb9",5886831028057977
When the world couldn’t go to Tokyo  people were able to see and experience the city through Microsoft Teams. Learn More. 👉 http://msft.it/6186nqshg,en,1.0,When the world couldn’t go to Tokyo  people were able to see and experience the city through Microsoft Teams. Learn More. 👉 http://msft.it/6186nqshg,5851031594971254
"After one and a half years of COVID-19  we can certainly acknowledge the importance of accessible technologies  especially when it comes to a public health crisis.
Read our article to explore the lessons that the pandemic taught us:",en,1.0,"After one and a half years of COVID-19  we can certainly acknowledge the importance of accessible technologies  especially when it comes to a public health crisis.
Read our article to explore the lessons that the pandemic taught us:",5821571907917223
"The Hybrid model is the future of work. However  in order to make it work  we must go further than just redesigning our offices. We need to rethink the entire digital experience of co-working.
Read the article and discover how:",en,1.0,"The Hybrid model is the future of work. However  in order to make it work  we must go further than just redesigning our offices. We need to rethink the entire digital experience of co-working.
Read the article and discover how:",5816079721799775
"As a founding member in the Space ISAC  we’re looking forward to enhance the community’s ability to prepare for and respond to cyber vulnerabilities  incidents and threats and more.
Read the full story:",en,1.0,"As a founding member in the Space ISAC  we’re looking forward to enhance the community’s ability to prepare for and respond to cyber vulnerabilities  incidents and threats and more.
Read the full story:",5796896017051479
As we navigate a new world of work  we discover new ways to help people work both flexibly and effective. Follow the link and discover our newest innovations for Teams  designed to make people succeed in hybrid work:,en,1.0,As we navigate a new world of work  we discover new ways to help people work both flexibly and effective. Follow the link and discover our newest innovations for Teams  designed to make people succeed in hybrid work:,5791868080887606
In order to celebrate the joy of success  it's important to learn the lessons of failure. Read our article and discover how technology helped Europe's entrepreneurs to innovate and restart their business operations during tough times:,en,1.0,In order to celebrate the joy of success  it's important to learn the lessons of failure. Read our article and discover how technology helped Europe's entrepreneurs to innovate and restart their business operations during tough times:,5787067504700997
"Ever since moving its on-premise CRM system to the cloud  SoftServe has unlocked the full potential of Dynamics 365 Sales. As a result of this all-cloud strategy  the company has seen a 66% reduction in helpdesk tickets created.
Read the full story and discover more:",en,1.0,"Ever since moving its on-premise CRM system to the cloud  SoftServe has unlocked the full potential of Dynamics 365 Sales. As a result of this all-cloud strategy  the company has seen a 66% reduction in helpdesk tickets created.
Read the full story and discover more:",5778172328923848
Instant voice communication while always being on the move? It’s now possible with Walkie Talkie for Microsoft Teams. Watch the video and learn how Teams makes communication easier for in-store personnel  factory operators  field workers and many more ➡ http://msft.it/6184njQdr,en,1.0,Instant voice communication while always being on the move? It’s now possible with Walkie Talkie for Microsoft Teams. Watch the video and learn how Teams makes communication easier for in-store personnel  factory operators  field workers and many more ➡ http://msft.it/6184njQdr,5762573877150360
"Successful companies need to prioritize customer experience and seek to understand how their clients feel about their products. As Dynamics 365 Customer Voice works seamlessly with Dynamics 365 Sales to source feedback and engage with customers within their buying process  it is now easier than ever to do so.
Discover more here:",en,1.0,"Successful companies need to prioritize customer experience and seek to understand how their clients feel about their products. As Dynamics 365 Customer Voice works seamlessly with Dynamics 365 Sales to source feedback and engage with customers within their buying process  it is now easier than ever to do so.
Discover more here:",5758240017583746
"Teams makes it easier for the frontline staff to manage their schedule while synchronizing with their colleagues in a seamless manner.
Watch the video and discover Shifts for Microsoft Teams ➡ http://msft.it/6185nbDiT",en,1.0,"Teams makes it easier for the frontline staff to manage their schedule while synchronizing with their colleagues in a seamless manner.
Watch the video and discover Shifts for Microsoft Teams ➡ http://msft.it/6185nbDiT",5753108311430250
To remain relevant in today’s new world  organizations need to look for industry-specific digital solutions. Microsoft cloud gives more freedom to developers  allowing them to customize any solution to their specific needs. Follow the link and discover how:,en,1.0,To remain relevant in today’s new world  organizations need to look for industry-specific digital solutions. Microsoft cloud gives more freedom to developers  allowing them to customize any solution to their specific needs. Follow the link and discover how:,5743685819039166
"According to a McKinsey & Company study  70% of B2B decision makers are open to making online purchases over $50 000. B2B buying is rapidly moving towards an online shopping experience centered around convenience  security  and personalization.
Read the article and discover more:",en,1.0,"According to a McKinsey & Company study  70% of B2B decision makers are open to making online purchases over $50 000. B2B buying is rapidly moving towards an online shopping experience centered around convenience  security  and personalization.
Read the article and discover more:",5720180134723068
"The Economist Intelligence Unit  sponsored by Microsoft  has conducted a cross-industry survey of 800 business executives and senior-level government employees spanning 8 sectors. We’ve discovered that Finance took the lead in digital preparedness  followed by the public administration services.
Explore the study and discover more interesting findings ➡ http://msft.it/6187nM8Af",en,1.0,"The Economist Intelligence Unit  sponsored by Microsoft  has conducted a cross-industry survey of 800 business executives and senior-level government employees spanning 8 sectors. We’ve discovered that Finance took the lead in digital preparedness  followed by the public administration services.
Explore the study and discover more interesting findings ➡ http://msft.it/6187nM8Af",5659995147408234
"Some people can’t wait to get back at the office  while others would prefer the hybrid model or to simply remain in their home offices. To ensure harmony  workspaces need to be redesigned for the Hybrid Era.
Follow the link and explore some tips on how to foster collaboration for every team member:",en,1.0,"Some people can’t wait to get back at the office  while others would prefer the hybrid model or to simply remain in their home offices. To ensure harmony  workspaces need to be redesigned for the Hybrid Era.
Follow the link and explore some tips on how to foster collaboration for every team member:",5655275367880212
"Only a quarter of the world’s population is responsible for feeding the other 75%  and the challenge will only keep growing. This is where technologies such as AI and IoT can make a difference  allowing farmers to enhance certain operations such as crop protection  harvesting  production and more.
Discover why plugging rural life into the digital economy is so important:",en,1.0,"Only a quarter of the world’s population is responsible for feeding the other 75%  and the challenge will only keep growing. This is where technologies such as AI and IoT can make a difference  allowing farmers to enhance certain operations such as crop protection  harvesting  production and more.
Discover why plugging rural life into the digital economy is so important:",5650866098321139
Small and medium-sized enterprises are the backbone of Europe’s economy  representing 99% of all businesses in the EU. This is why it’s vital for SMBs to embrace the power of data. Follow the link and discover the story of how 2 European food producers overcame various business challenges through technology:,en,1.0,Small and medium-sized enterprises are the backbone of Europe’s economy  representing 99% of all businesses in the EU. This is why it’s vital for SMBs to embrace the power of data. Follow the link and discover the story of how 2 European food producers overcame various business challenges through technology:,5633650710042678
"In order to move forward and achieve progress  we need to communicate.
This is why LGBTQI+ people at Microsoft are embracing the uncomfortable and inviting everyone to a dialogue.
Join us as we call for justice  equity and equality.",en,1.0,"In order to move forward and achieve progress  we need to communicate.
This is why LGBTQI+ people at Microsoft are embracing the uncomfortable and inviting everyone to a dialogue.
Join us as we call for justice  equity and equality.",5629577463783336
Increase employee management  accelerate onboarding  automate business processes and give your staff the tools of tomorrow. Watch the video and discover how Microsoft Teams ensures efficiency for the frontline workers ➡ http://msft.it/6188nG1oo,en,1.0,Increase employee management  accelerate onboarding  automate business processes and give your staff the tools of tomorrow. Watch the video and discover how Microsoft Teams ensures efficiency for the frontline workers ➡ http://msft.it/6188nG1oo,5624802810927468
The more we talk  the more we understand. Join us on June 24 for a virtual Microsoft Pride discussion  as we tackle working together to drive change for and beyond LGBTQI+ communities.,en,1.0,The more we talk  the more we understand. Join us on June 24 for a virtual Microsoft Pride discussion  as we tackle working together to drive change for and beyond LGBTQI+ communities.,5621009577973458
As hospitals upgrade their tools and methods  universities are teaching the doctors-in-training to use them skillfully. Follow the link and explore the capabilities of Microsoft HoloLens 2 in medical education:,en,1.0,As hospitals upgrade their tools and methods  universities are teaching the doctors-in-training to use them skillfully. Follow the link and explore the capabilities of Microsoft HoloLens 2 in medical education:,5603121183095631
"During the 2021 edition of Hannover Messe  we learned that organizations that started their digital transformation journeys prior to the pandemic are resetting benchmarks and creating significant gains in terms of agility  sustainability and productivity.
Explore what the future holds for digitalized manufacturers:",en,1.0,"During the 2021 edition of Hannover Messe  we learned that organizations that started their digital transformation journeys prior to the pandemic are resetting benchmarks and creating significant gains in terms of agility  sustainability and productivity.
Explore what the future holds for digitalized manufacturers:",5598069793600770
"The 2021 Work Trend Index outlines findings from a study of more than 30 000 people in 31 countries and an analysis of trillions of productivity and labor signals across Microsoft 365 and LinkedIn.
Follow the link and take a closer look at the actual implications of the hybrid work model:",en,1.0,"The 2021 Work Trend Index outlines findings from a study of more than 30 000 people in 31 countries and an analysis of trillions of productivity and labor signals across Microsoft 365 and LinkedIn.
Follow the link and take a closer look at the actual implications of the hybrid work model:",5593478100726606
"The future of innovation sounds good!
Explore our interview with David Carmona  Microsoft General Manager for AI and Innovation and host of the latest AI Business School Podcast  and learn how you can lead AI innovation within your industry!",en,1.0,"The future of innovation sounds good!
Explore our interview with David Carmona  Microsoft General Manager for AI and Innovation and host of the latest AI Business School Podcast  and learn how you can lead AI innovation within your industry!",5565273596880390
As hybrid work takes hold and norms are shifting again  creating wellbeing for our teams should still be a priority. It is our responsibility as business leaders to lead with empathy and respect for our coworker’s time. Follow the link and discover our 6 principles of wellbeing for your hybrid workplace:,en,1.0,As hybrid work takes hold and norms are shifting again  creating wellbeing for our teams should still be a priority. It is our responsibility as business leaders to lead with empathy and respect for our coworker’s time. Follow the link and discover our 6 principles of wellbeing for your hybrid workplace:,5529762323764851
"In a digital connected world  AI has become a priority for many industries. Financial institutions in particular can benefit from the opportunities afforded by AI - however  it’s essential that the industry uses AI in a responsible manner.
Read our article to learn more about the principles of responsible AI in financial services and how by implementing them we help build the future of intelligent banking:",en,1.0,"In a digital connected world  AI has become a priority for many industries. Financial institutions in particular can benefit from the opportunities afforded by AI - however  it’s essential that the industry uses AI in a responsible manner.
Read our article to learn more about the principles of responsible AI in financial services and how by implementing them we help build the future of intelligent banking:",5525467637527653
