Original,Detected language,Detected language score,Translation,CommentID,PostID
mam od 2tyg i generalnie szału nie ma  du*y nie urywa  w grach jest strasznie niestabilny,pl,1.0,I have from 2tyg and generally madness there is no du*y does not break in games is terribly unstable,1848495645337759,1848477828672874
Moje jedyne życzenie jest takie  żeby Teams zaczął szybciej działać. Niestety obecnie pożera gigantyczne ilości pamięci i mocy procesora. Przy wideokonferencji na ekranie 4k praktycznie nie da się pracować. Problem obserwowany u wszystkich współpracownikach i znajomych.,pl,1.0,"My only wish is that Teams will start working faster. Unfortunately, it is currently devouring gigantic amounts of memory and CPU power. With video conferencing on a 4k screen, it is practically impossible to work. A problem that is observed in all colleagues and friends.",1848563418664315,1848477828672874
Serdeczne gratulacje 🥀🍀🥀,pl,1.0,Congratulations 🥀🍀🥀,1882280408625949,1843728859147771
Jerzy Ziemniak,pl,1.0,Jerzy Ziemniak,1886247884895868,1843728859147771
Gratulacje 😉,pl,1.0,Congratulations 😉,1886247984895858,1843728859147771
Czy będzie udostępnione ogólnodostępne API?,pl,0.8,Will there be a publicly available API?,1841384386048885,1840943346092989
Guys...I don't think so Krakow is Łódzkie Wojewoda. Kraków to nie Łódzkie 🙂,pl,1.0,Guys... I don't think so Krakow is Łódzkie Wojewoda. Krakow is not Lodz 🙂,1829968660523791,1828869220633735
All roads lead to Łódź 😆,en,0.8,All roads lead to Łódź 😆,1832053040315353,1828869220633735
Super sprawa dla pacjentów,pl,1.0,A great thing for patients,1825270604326930,1824324214421569
.,en,0.0,.,1825379314316059,1824324214421569
Zróbcie dobry stabilny system operacyjny,pl,1.0,Make a good stable operating system,1886248624895794,1819153468271977
Jerzy Ziemniak,pl,1.0,Jerzy Ziemniak,1886250121562311,1819153468271977
os u Ciebie,pl,1.0,os at your place,1762446500609341,1751763101677681
Ciekawy ten Microsoft po rozwodzie :-),pl,1.0,Interesting this Microsoft after divorce :-),1766056723581652,1751763101677681
No i zobacz  jak ten szybko ucieka Kornelia Jakszuk  za chwilę będziecie mieli problem  dokąd wyszedł...🤣🤭,pl,1.0,"Well, see how quickly this escapes Kornelia Jakszuk in a moment you will have a problem where he left ... 🤣🤭",1767987853388539,1751763101677681
Witam serdecznie. Nie wiem czy dobrze kieruje swoje pytanie  ale chciałbym zapytać Państwa o jedną rzecz :) Chodzi mi o dostępność konsoli poprzedniej generacji  czyli XBOX ONE S (model z 500 GB lub 1TB). Nie można jej obecnie dostać w oficjalnej sprzedaży chociaż nigdzie nie znalazłem informacji o zakończeniu przez Państwa jej produkcji  na wikipedii angielskojęzycznej wisi informacji  że cykl życia produktu jeszcze nie został zakończony. Wiem  że konsole były jeszcze dostępne jakoś w okolicach marca obecnego roku. Czy zakończyliście produkcję modelu XBOX ONE S już całkowicie i nie będzie można się spodziewać jego kolejnej partii na półkach sklepowych? Pozdrawiam,pl,1.0,"Welcome. I do not know if he directs his question well, but I would like to ask you about one thing :) I mean the availability of the previous generation console, i.e. XBOX ONE S (model with 500 GB or 1TB). It is currently impossible to get it in the official sale although nowhere I found information about the end of your production of it on the English wikipedia hangs information that the life cycle of the product has not yet been completed. I know that the consoles were still available somehow around March this year. Have you completely ended the production of the XBOX ONE S model completely and you will not be able to expect its next batch on store shelves? Best regards",1746935405493784,1746838185503506
Super,en,1.0,Super,1725893617597963,1723960264457965
dhkpc-server restart,en,1.0,dhkpc-server restart,1718728614981130,1716750175178974
Bardzo mnie to dziwi  że mogę pójść do sklepu papierniczego  kupić długopis i poprosić o fakturę VAT dla mojej jednoosobowej działalności  ale za program  który rocznie kosztuje 300 zł faktury już nie otrzymam. Argumentu  że mogę zapłacić jeszcze więcej i wtedy dostać taką fakturę zupełnie nie rozumiem.,pl,1.0,It surprises me very much that I can go to a stationery store to buy a pen and ask for a VAT invoice for my sole proprietorship but for a program that costs PLN 300 a year I will not receive an invoice. The argument that I can pay even more and then get such an invoice I do not understand at all.,1705971699590155,1701045483416110
I jeszcze jedna sprawa  bank poinformował mnie  że za przyjemność zapłaty kartą za przedłużenie subskrypcji Microsoft musiałam zapłacić 4% kwoty  czyli 12 zł. Dlaczego nie informujecie klientów  że płatność jest wykonywana przez zagranicznego operatora? W mojej opinii to zatajanie informacji  co skutkuje dodatkowymi opłatami dla klientów. Płacąc za subskrypcję nigdzie było informacji  że będę musiała ponieść taką opłatę. I naprawdę nie chodzi mi o te 12 zł  ale o fakt  że wszyscy Polacy korzystający z konta biznesowego ponoszą dodatkowe koszty nawet o tym nie wiedząc.,pl,1.0,"And one more thing the bank informed me that for the pleasure of paying by card for extending the Microsoft subscription I had to pay 4% of the amount or PLN 12. Why don't you inform customers that the payment is made by a foreign operator? In my opinion, this is a withholding of information, which results in additional fees for customers. When paying for the subscription, there was no information anywhere that I would have to pay such a fee. And I really do not mean the 12 zł but the fact that all Poles using a business account incur additional costs without even knowing it.",1709584435895548,1701045483416110
SE,es,1.0,HERSELF,1695146124006046,1693650214155637
Małgorzata Zachariasz,pl,1.0,Malgorzat Zacharias,1681991645321494,1680619235458735
Xd,de,1.0,Xd,1669898683197457,1669298116590847
Leokadia Sułek,pl,1.0,Leokadia Sułek,1658421751011817,1654984428022216
"Ktoś w ogóle rozpatruje te formularze odzyskiwania hasła? Automat z którym ""piszę"" lub automat z którym rozmawiam przez telefon kieruje mnie tylko do tego  a wynik jest ciągle ten sam 😒",pl,1.0,"Anyone even consider these password recovery forms? The machine with which I ""write"" or the machine with which I talk on the phone directs me only to this and the result is still the same 😒",1654595878061071,1653640591489933
"NIE POLECAM NIKOMU KUPOWAĆ TEGO SPRZĘTU ANI ŻADNEGO Z MODELI SURFACE!!! KUPIŁAM  LAPTOP LEŻAŁ W JEDNYM MIEJSCU NA BIURKU I NAGLE RANO GO WŁĄCZAM I CO WIDZĘ? PĘKNIĘTY WYŚWIETLACZ! PĘKŁ ZUPEŁNIE SAM BEZ ŻADNEJ INGERENCJI BO STAŁ NA BIURKU. DZIAŁ TECHNICZNY POWIEDZIAŁ MI ŻE MOGĄ MI JEDYNIE WYMIENIĆ NA ""NOWY"" MODEL ODPŁATNIE ZA 2000ZL I TEN ""NOWY"" MODEL BĘDZIE SKŁADANY Z UŻYWANYCH CZĘŚCI!!! PONADTO JUŻ MODEL SURFACE 3 PEKAL UŻYTKOWNIKOM SAM I MICROSOFT PRZYZNAŁ SIĘ DO WADY FABRYCZNEJ ALE DŁUGO PO CZASIE... TO SAMO DZIEJE SIĘ TERAZ Z NOWYMI MODELAMI ALE MICROSOFT NIE POTRAFI WZOAC ODPOWIEDZIALNOŚCI. OMIJAJCIE SZEROKIM ŁUKIEM TA FIRMĘ I ICH SPRZĘTY ‼️ZAPŁACIŁAM 4800ZL I DBAŁAM O NIEGO JAK O OCZKO W GŁOWIE A ON SAM PĘKŁ I FIRMA NIE POTRAFI POMÓC ZWŁASZCZA  ŻE PRZY MODELU 3 PRZYZNALI SIĘ DO BŁĘDÓW W KONSTRUKCJI I WADY FABRYCZNEJ. KPINA ‼️",pl,1.0,"I DO NOT RECOMMEND ANYONE TO BUY THIS EQUIPMENT OR ANY OF THE SURFACE MODELS!!! I BOUGHT A LAPTOP WAS LYING IN ONE PLACE ON THE DESK AND SUDDENLY IN THE MORNING I TURN IT ON AND WHAT DO I SEE? CRACKED DISPLAY! HE BROKE COMPLETELY ALONE WITHOUT ANY INTERFERENCE BECAUSE HE WAS STANDING ON HIS DESK. THE TECHNICAL DEPARTMENT TOLD ME THAT THEY CAN ONLY EXCHANGE ME FOR A ""NEW"" MODEL FOR A FEE OF 2000ZL AND THIS ""NEW"" MODEL WILL BE ASSEMBLED FROM USED PARTS!!! IN ADDITION, THE SURFACE 3 PEKAL MODEL HAS ALREADY ADMITTED TO THE USERS THEMSELVES AND MICROSOFT ADMITTED TO A MANUFACTURING DEFECT BUT LONG AFTER THE TIME ... THE SAME THING IS HAPPENING NOW WITH NEW MODELS, BUT MICROSOFT CAN'T TAKE RESPONSIBILITY. AVOID THIS COMPANY AND THEIR EQUIPMENT !!️ I PAID 4800ZL AND TOOK CARE OF HIM LIKE AN EYE IN HIS HEAD AND HE CRACKED AND THE COMPANY CAN NOT HELP ESPECIALLY THAT WITH THE MODEL 3 THEY ADMITTED TO ERRORS IN CONSTRUCTION AND FACTORY DEFECT. MOCKERY !!️",1720373344816657,1649945041859488
Priv,de,1.0,Priv,1644677419052917,1643193172534675
Mnie,pl,1.0,Me,1634260090094650,1632196413634351
XD,de,1.0,XD,1634360633417929,1632196413634351
I mnie,pl,1.0,And me,1634422980078361,1632196413634351
Mnie,pl,1.0,Me,1634530723400920,1632196413634351
Mnie,pl,1.0,Me,1634622853391707,1632196413634351
Mnie,pl,1.0,Me,1634626610057998,1632196413634351
Mnie,pl,1.0,Me,1634651410055518,1632196413634351
Sprytne  nie wiedziałem o tym 🤩,pl,1.0,Clever I didn't know about this 🤩,1629529417234384,1619318288255497
A może oddacie mi kasę za cyberpunk??? Mimo zgłoszenia to dostałem odmowę,pl,1.0,"Or maybe you'll give me money for cyberpunk??? Despite the report, I got a refusal",1627473764106616,1627236980796961
"Dlaczego jak na Huawei P40 Lite chcę pobrać oneDrive pokazuje ""nie dostępne w regionie""region: Polska",pl,0.94,"Why as on Huawei P40 Lite I want to download oneDrive shows ""not available in region""region: Poland",1622114174642575,1621850378002288
I LOVE THIS❤💙🧡💚💛,en,1.0,I LOVE THIS❤💙🧡💚💛,5636897133051369,5629577463783336
Shelton Wasikwasie,en,1.0,Shelton Wasikwasie,5460381620702922,5443689789038772
Не могу заестрироваться. Как мне эаерестрироваться на вашем сайте Микрософт?,ru,0.9,I can't get a shot. How do I get used to your Microsoft website?,4777240515683706,4748558278551930
iestesmi na ziemi niema 3G a mowicie o steliatzch,pl,1.0,iestesmi on earth silent 3G and you are talking about steliatzch,4707655982642160,4692762594131499
Ion Petreache,en,1.0,Ion Petreache,4690100607731031,4683965038344588
Какой-то набор бессмысленностей.,ru,1.0,Some set of nonsense.,4693241667416925,4683965038344588
Gbbfeac. FacNzDhoyeddjlugh,en,1.0,Gbbfeac. FacNzDhoyeddjlugh,4694950477246044,4683965038344588
Brilliant,en,1.0,Brilliant,4696211527119939,4683965038344588
Привет ) я являюсь сотрудником Компании Платформ и кто хочеть работать и зароботывывать и при этом не выходя из дома и не нужно ничего продавать и выкладывать я имею платить,ru,1.0,Hi) I am an employee of the Platform Company and who want to work and earn and at the same time without leaving home and do not need to sell and post anything I have to pay,4678346572239768,4661238497283909
Nek ti bog podari sto g zdravlja i srece,hr,1.0,May God give you a hundred years of health and happiness,4705216749552750,4661238497283909
Свяжитесь со мной! Есть неразрешимые тех вопросы,ru,1.0,Contact me! There are unsolvable those questions,4625568997517526,4534878383253255
Šaunuoliai!,lt,1.0,Great guys!,4534893413251752,4531169173624176
✔💯,en,0.0,✔💯,4497232803684480,4475817142492713
🙌✔,en,0.0,🙌✔,4405395306201564,4404742402933521
So happy to read about your journey - I wish this had been my own - I was repeatedly reminded my role was 24/7 despite approved time for pandemic when I requested needs my manager disregarded the requests until prompted by HR.,en,1.0,So happy to read about your journey - I wish this had been my own - I was repeatedly reminded my role was 24/7 despite approved time for pandemic when I requested needs my manager disregarded the requests until prompted by HR.,10159645805066413,10159645760851413
So happy to read about your journey - I wish this had been my own - I was repeatedly reminded my role was 24/7 despite approved time for pandemic when I requested needs my manager disregarded the requests until prompted by HR.,en,1.0,So happy to read about your journey - I wish this had been my own - I was repeatedly reminded my role was 24/7 despite approved time for pandemic when I requested needs my manager disregarded the requests until prompted by HR.,10159645805066413,10159645760851413
So happy to read about your journey - I wish this had been my own - I was repeatedly reminded my role was 24/7 despite approved time for pandemic when I requested needs my manager disregarded the requests until prompted by HR.,en,1.0,So happy to read about your journey - I wish this had been my own - I was repeatedly reminded my role was 24/7 despite approved time for pandemic when I requested needs my manager disregarded the requests until prompted by HR.,10159645805066413,10159645760851413
So happy to read about your journey - I wish this had been my own - I was repeatedly reminded my role was 24/7 despite approved time for pandemic when I requested needs my manager disregarded the requests until prompted by HR.,en,1.0,So happy to read about your journey - I wish this had been my own - I was repeatedly reminded my role was 24/7 despite approved time for pandemic when I requested needs my manager disregarded the requests until prompted by HR.,10159645805066413,10159645760851413
So happy to read about your journey - I wish this had been my own - I was repeatedly reminded my role was 24/7 despite approved time for pandemic when I requested needs my manager disregarded the requests until prompted by HR.,en,1.0,So happy to read about your journey - I wish this had been my own - I was repeatedly reminded my role was 24/7 despite approved time for pandemic when I requested needs my manager disregarded the requests until prompted by HR.,10159645805066413,10159645760851413
So happy to read about your journey - I wish this had been my own - I was repeatedly reminded my role was 24/7 despite approved time for pandemic when I requested needs my manager disregarded the requests until prompted by HR.,en,1.0,So happy to read about your journey - I wish this had been my own - I was repeatedly reminded my role was 24/7 despite approved time for pandemic when I requested needs my manager disregarded the requests until prompted by HR.,10159645805066413,10159645760851413
Dublin <3 Proud to work there,en,1.0,Dublin <3 Proud to work there,10159612157036413,10159612105241413
❤,en,0.0,❤,10159612158696413,10159612105241413
👌,en,0.0,👌,10159613112876413,10159612105241413
❤,en,0.0,❤,10159614015156413,10159612105241413
When will be arriving a Microsoft Store 🏪 in Mexico? 😍,en,1.0,When will be arriving a Microsoft Store 🏪 in Mexico? 😍,10159612159936413,10159612105241413
Love your campus!,en,1.0,Love your campus!,10159612825766413,10159612105241413
Thank you for sharing the photos. Love them!,en,1.0,Thank you for sharing the photos. Love them!,10159623292396413,10159612105241413
Working hard or hardly working?,en,1.0,Working hard or hardly working?,10159640210781413,10159612105241413
ugh. plain design.,en,1.0,ugh. plain design.,10159648585091413,10159612105241413
Mukul,en,1.0,Mukul,10159585119356413,10159582603116413
I applied to write here as a writer and you did not accept my application without giving me a reason and no longer will apply here again as published writer,en,1.0,I applied to write here as a writer and you did not accept my application without giving me a reason and no longer will apply here again as published writer,10159583172586413,10159582603116413
Same here!! Thank you Microsoft Life Microsoft for well-being days!! You genuinely care! 🙏🏻,en,1.0,Same here!! Thank you Microsoft Life Microsoft for well-being days!! You genuinely care! 🙏🏻,10159583791171413,10159582603116413
Impossible In This World And The Fame (For The People 👨‍👩‍👧‍👦) En Este Mundo Es Imposible Y La Fama (Para Las Personas 👨‍👩‍👧‍👦)Quetzeagle JST: MY 1 000 TRACKS (MIS 1 000 PISTAS)Impossible To Get Up To 10 Millons ViewsImposible Llegar Hasta 10 Millones De VistasBlessing To All 🌎 (Bendiciones A Todos)Christ With Me (Cristo Conmigo 🕊)BRRRRRRRRRR,es,0.94,"Impossible In This World And The Fame (For The People 👨 👩 👧 👦) In This World It's Impossible And Fame (For People 👨 👩 👧 👦)Quetzeagle JST: MY 1,000 TRACKS (MIS 1,000 TRACKS)Impossible To Get Up To 10 Million ViewsImpossible To Reach Up To 10 Million ViewsBlessing To All 🌎 Christ With Me (Christ With Me 🕊)BRRRRRRRRRR",10158816062898721,10158815887808721
The company that literally creates virtual meeting technology and has used the pandemic to market it  is refusing to provide a virtual option for the annual Collaboration Conference in December (while the country is STILL in the middle of a pandemic) All of their marketing says it is IN PERSON only. Meanwhile Microsoft employees work from home and their own visitor center is closed to the public due to covid. Please tell me WHY in-person is mandatory in this day and age.,en,1.0,The company that literally creates virtual meeting technology and has used the pandemic to market it  is refusing to provide a virtual option for the annual Collaboration Conference in December (while the country is STILL in the middle of a pandemic) All of their marketing says it is IN PERSON only. Meanwhile Microsoft employees work from home and their own visitor center is closed to the public due to covid. Please tell me WHY in-person is mandatory in this day and age.,10158756795818721,10158678471638721
MICROSOFT LOCKED ME OUT AND AFTER DOING NOTHING TO HELP ME GET BACK IN THEYVE BLOCKED ME ON MESSENGER!,en,1.0,MICROSOFT LOCKED ME OUT AND AFTER DOING NOTHING TO HELP ME GET BACK IN THEYVE BLOCKED ME ON MESSENGER!,10158700712013721,10158678471638721
Why did you take the good features out of W11. I used it on my work laptop. Some of us enjoyed the weather feature on the taskbar. Instead of deleting a feature because some people don't like it  why not just give people the option to add or delete them? It never makes sense to me that a few people can get a feature deleted.,en,1.0,Why did you take the good features out of W11. I used it on my work laptop. Some of us enjoyed the weather feature on the taskbar. Instead of deleting a feature because some people don't like it  why not just give people the option to add or delete them? It never makes sense to me that a few people can get a feature deleted.,10158736167753721,10158678471638721
had an update yesterday today I start my PC at 10:04  20 minutes later still cant access anything on my PC  you have convinced me to never use Microsoft software again!,en,1.0,had an update yesterday today I start my PC at 10:04  20 minutes later still cant access anything on my PC  you have convinced me to never use Microsoft software again!,10158682950183721,10158678471638721
Remember when yesterday your customer support supervisor  Vivian  told me she didn’t care about my issue. And then I’ve been ignored since.,en,1.0,Remember when yesterday your customer support supervisor  Vivian  told me she didn’t care about my issue. And then I’ve been ignored since.,10158715745423721,10158678471638721
"Um... Yeah... To pay a RESPECTFUL tribute to Hispanic Heritage Month  you couldn't be bothered to find the correct way to say ""Our Voices"" en español? Then again  this is what happens when you pay your women employees with karma and let the inmates (i.e. CEO Nadella's favorite sycophants) run the asylum. Now check your privilege and make it right.",en,0.98,"Um... Yeah... To pay a RESPECTFUL tribute to Hispanic Heritage Month  you couldn't be bothered to find the correct way to say ""Our Voices"" en español? Then again  this is what happens when you pay your women employees with karma and let the inmates (i.e. CEO Nadella's favorite sycophants) run the asylum. Now check your privilege and make it right.",10158678697298721,10158678471638721
What should I do if the serial number of the MINECRAFT game cannot be used? Thanks.,en,1.0,What should I do if the serial number of the MINECRAFT game cannot be used? Thanks.,10158689991968721,10158678471638721
"The photo quality comes out amazing. The only feedback I feel I should mention is they should use the click anywhere feature and switch out the hotspots to arrows  or add ""view next group"" to the hotspot. It was a bit confusing to navigate and realize the virtual space. You can only go in one direction through the space.",en,1.0,"The photo quality comes out amazing. The only feedback I feel I should mention is they should use the click anywhere feature and switch out the hotspots to arrows  or add ""view next group"" to the hotspot. It was a bit confusing to navigate and realize the virtual space. You can only go in one direction through the space.",10158712321583721,10158678471638721
"Windows 10 Home - FAIL / Feature: When using a portable soundbar BlueTooth speaker  the audio for me in Zoom shows as: ""Select a Speaker: Headphones (BrandName Stereo)."" Is it just me  my Dell  my RealTek sound/audio sh1!7777ttttt drivers  or does Win10Home not really 'know' what BlueTooth is or 'where it is ' and still calls things Headphones? Nothing is plugged in there so.. STRANGE. FAIL. Microsoft - end rant 😛 😃 🙂 😃 Edit: Test. Facebook programming HORRID. Seeing comments where user is mentioned are always broken..",en,0.99,"Windows 10 Home - FAIL / Feature: When using a portable soundbar BlueTooth speaker  the audio for me in Zoom shows as: ""Select a Speaker: Headphones (BrandName Stereo)."" Is it just me  my Dell  my RealTek sound/audio sh1!7777ttttt drivers  or does Win10Home not really 'know' what BlueTooth is or 'where it is ' and still calls things Headphones? Nothing is plugged in there so.. STRANGE. FAIL. Microsoft - end rant 😛 😃 🙂 😃 Edit: Test. Facebook programming HORRID. Seeing comments where user is mentioned are always broken..",10158683028498721,10158678471638721
We need more intercultural cooperation to become a more “United” States,en,1.0,We need more intercultural cooperation to become a more “United” States,10158756708748721,10158678471638721
Congratulationson this occasion and the celebration of the Spanish Heritage Month,en,1.0,Congratulationson this occasion and the celebration of the Spanish Heritage Month,10158692497263721,10158678471638721
congratulationsin this days spanish heritage across the world.,en,1.0,congratulationsin this days spanish heritage across the world.,10158723702953721,10158678471638721
I saw on my Surface Pro 2017 through Windows updates that my Surface Pro processor is not compatible with Windows 11. That’s ridiculous! How does a 4 year old official Microsoft product not support it! My 11 year old desktop supported Windows 10. It should be made compatible. Thank you.,en,1.0,I saw on my Surface Pro 2017 through Windows updates that my Surface Pro processor is not compatible with Windows 11. That’s ridiculous! How does a 4 year old official Microsoft product not support it! My 11 year old desktop supported Windows 10. It should be made compatible. Thank you.,10158712221813721,10158678471638721
"I can no longer access the Office 2010 I paid for on my new computer and the only options you give me are a watered down ""free"" version or to pay you more and buy a more expensive version. You essentially are telling me I can't have a product I paid for. This is literally robbery and as good a reason as any to switch to Apple...",en,1.0,"I can no longer access the Office 2010 I paid for on my new computer and the only options you give me are a watered down ""free"" version or to pay you more and buy a more expensive version. You essentially are telling me I can't have a product I paid for. This is literally robbery and as good a reason as any to switch to Apple...",10158757767418721,10158678471638721
Is it too much to ask that you give us some idea of how long patches will take to install? I never know whether it will take 5minutes or 2 hours. This makes me feel DISEMPOWERED,en,1.0,Is it too much to ask that you give us some idea of how long patches will take to install? I never know whether it will take 5minutes or 2 hours. This makes me feel DISEMPOWERED,10158768865193721,10158678471638721
Just seeing the employee video  very funny,en,1.0,Just seeing the employee video  very funny,10158768369283721,10158678471638721
I need a Microsoft Office on my laptop for studiesAny cool deal for me pls  thank u in advance...,en,1.0,I need a Microsoft Office on my laptop for studiesAny cool deal for me pls  thank u in advance...,10158735139548721,10158678471638721
Por que e ido aún culto de mujeres del bien y tengo amigas también que Queiro tener en colombia y aquí,es,1.0,Because I have been still worshipping women of good and I have friends also that Queiro have in Colombia and here,10158762268353721,10158678471638721
Your party chat is not working you’re smart glasses down what What is the issue the community has the right to know,en,1.0,Your party chat is not working you’re smart glasses down what What is the issue the community has the right to know,10158711046573721,10158678471638721
Nice!,en,1.0,Nice!,10158706117823721,10158678471638721
I have to upgrade my Dell and will need to reinstall my Microsoft 2013 Professional. Went to my Microsoft account but the program isn't there. I have the product key but have no idea how to reinstall it when the time comes. Can't get a human on the phone. Does anyone have any suggestions? My C Drive is full and Dell told me it needs to be upgraded after the technician serviced it.,en,1.0,I have to upgrade my Dell and will need to reinstall my Microsoft 2013 Professional. Went to my Microsoft account but the program isn't there. I have the product key but have no idea how to reinstall it when the time comes. Can't get a human on the phone. Does anyone have any suggestions? My C Drive is full and Dell told me it needs to be upgraded after the technician serviced it.,10158773554543721,10158678471638721
Why doesn't Microsoft have any support? I'm having a major problem and can't get any chat or phone number to get help!!!!,en,1.0,Why doesn't Microsoft have any support? I'm having a major problem and can't get any chat or phone number to get help!!!!,10158740913368721,10158678471638721
Dear Microsoft you need to keep the taskbar on the bottom of my computer screen that is where it belongs on a windows 10 computer not on the left side of the computer but it belongs at the bottom only,en,1.0,Dear Microsoft you need to keep the taskbar on the bottom of my computer screen that is where it belongs on a windows 10 computer not on the left side of the computer but it belongs at the bottom only,10158788731368721,10158678471638721
Are you coming out with an upgraded Microsoft Studio (3) or higher? If so  when?,en,1.0,Are you coming out with an upgraded Microsoft Studio (3) or higher? If so  when?,10158762381653721,10158678471638721
Geezh  what’s up with your commercial about the speakers saying what race they are  what they are wearing and that the campus is on grounds that was long ago inhabited by other people. I don’t know about others but I didn’t care,en,1.0,Geezh  what’s up with your commercial about the speakers saying what race they are  what they are wearing and that the campus is on grounds that was long ago inhabited by other people. I don’t know about others but I didn’t care,10158762817288721,10158678471638721
Hi my name is Jorge and I'm wearing a gray short-sleeve shirt and blue jeans. I would like to express my disappointment that my very capable PC is not eligible to upgrade to Windows 11. I don't consider this a problem with my PC  but as a flaw of your OS.,en,1.0,Hi my name is Jorge and I'm wearing a gray short-sleeve shirt and blue jeans. I would like to express my disappointment that my very capable PC is not eligible to upgrade to Windows 11. I don't consider this a problem with my PC  but as a flaw of your OS.,10158761517913721,10158678471638721
I am going to file a formal complaint with the DOJ to investigate collusion between Microsoft and the computer manufacturers. Effectively any computer manufactured prior to 2017 will not run Windows 11  and MS will only support W10 up to 2025. Something smells rotten in Denmark!!!,en,1.0,I am going to file a formal complaint with the DOJ to investigate collusion between Microsoft and the computer manufacturers. Effectively any computer manufactured prior to 2017 will not run Windows 11  and MS will only support W10 up to 2025. Something smells rotten in Denmark!!!,10158764237158721,10158678471638721
